service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12025267,0,0,0,0,0,0,0,20160130,20160528
2025268,0,0,0,0,0,0,0,20160506,20160722
12025268,0,0,0,0,0,0,0,20160507,20160723
12025265,0,0,0,0,0,0,0,20160602,20160726
12025266,0,0,0,0,0,0,0,20160131,20160724
12025263,0,0,0,0,0,0,0,20160201,20160725
12025264,0,0,0,0,0,0,0,20160128,20160601
2025263,0,0,0,0,0,0,0,20160131,20160724
2025265,0,0,0,0,0,0,0,20160601,20160725
2025264,0,0,0,0,0,0,0,20160127,20160531
2025267,0,0,0,0,0,0,0,20160129,20160527
2025266,0,0,0,0,0,0,0,20160130,20160723
