from_stop_id,to_stop_id,transfer_type,min_transfer_time
5231725,22789,2,210
3730668,22789,2,259
3754206,22793,2,206
3754206,22794,2,206
3754207,22791,2,284
3754207,22792,2,284
3754205,22794,2,206
3754205,22793,2,206
3764087,22789,2,210
22789,4890620,2,242
2095,22790,2,150
3730668,22790,2,259
5231725,22790,2,210
5122192,22790,2,195
2045,22790,2,150
22790,4890620,2,242
4439607,22794,2,202
4439607,22793,2,202
22794,4677737,2,202
22794,4677736,2,202
22790,4890700,2,259
3764140,22790,2,197
5252679,22792,2,192
5252679,22791,2,192
4471786,22793,2,202
4471786,22794,2,202
22790,4890534,2,242
4439583,22794,2,306
3764088,22789,2,210
3764139,22789,2,195
5231724,22790,2,195
5122193,22790,2,198
22794,4284899,2,321
3730667,22790,2,259
4439582,22793,2,206
4439582,22794,2,206
5231724,22789,2,195
3764140,22789,2,197
4439583,22793,2,306
22789,4890700,2,259
3764139,22790,2,195
3730667,22789,2,259
2045,22789,2,150
5122192,22789,2,195
22793,4677736,2,202
22793,4677737,2,202
2095,22789,2,150
3764087,22790,2,210
4471787,22794,2,202
4471787,22793,2,202
22793,4284899,2,321
22789,4890534,2,242
3764088,22790,2,210
5122193,22789,2,198
